date;trend;replies;likes;caption
2/4/19, 09:58 AM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR FY2021 Earnings Estimates at $0.19 EPS. marketbeat.com/x/606853 $HNNMY
1/31/19, 10:58 AM;;0;0;H&M profit drops as retailer adapts to more online shopping $HNNMY #HNNMY marketbeat.com/articles/hm-...
1/30/19, 07:04 AM;;0;0;HENNES & MAURIT/ADR to release earnings before the market opens on Thursday. Analysts expect 0.04 EPS.  $HNNMY https://www.marketbeat.com/p
1/9/19, 08:52 AM;;0;0;Bangladesh garment worker protest continues for 4th day $HNNMY #HNNMY marketbeat.com/articles/ban...
1/9/19, 08:12 AM;;0;0;Bangladesh garment workers continue protest for higher wages $HNNMY #HNNMY marketbeat.com/articles/ban...
12/31/18, 10:03 PM;;0;0;BLOCK TRADE (Microcap): $HNNMY 266,265 shares @ $2.74 [15:59:54]
12/12/18, 11:04 PM;;15;0;$HNNMY This one will also be bought out as PACB. Easy parking place for money. 💰
12/6/18, 01:43 PM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR Q4 2018 Earnings Estimates at $0.06 EPS. marketbeat.com/x/582107 $HNNMY
10/6/18, 03:29 PM;;0;0;HENNES & MAURIT/ADR announces Annual dividend of $0.071.  Payable on 12/3/2018. 1.93% Yield.  marketbeat.com/stocks/OTCMK... $HNNMY
9/27/18, 10:28 AM;;0;0;$HNNMY sqeeeeeeeeeze
9/18/18, 01:47 PM;;0;0;$HNNMY close increased > 10% (Hennes & Mauritz AB) dividendinvestor.com/divide...
8/23/18, 01:20 PM;;0;0;Jefferies Financial Group Sets HENNES & MAURIT/ADR Q3 2018 Earnings Estimates at $0.04 EPS. marketbeat.com/x/534269 $HNNMY
7/17/18, 07:09 AM;;0;0;Fashion firms upend design routine to focus on speed, trends $HNNMY #HNNMY marketbeat.com/articles/fas...
6/28/18, 02:08 PM;;0;0;$HNNMY reports Q2 results briefing.com/Investor/Popup...
